[10|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 15, 8, 14], [9, 17, 10, 16], [11, 1, 12, 20], [13, 19, 14, 18], [15, 9, 16, 8], [17, 11, 18, 10], [19, 13, 20, 12]]|K3a1,K7a3]
[-4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 14, 8, 15], [9, 16, 10, 17], [11, 20, 12, 1], [13, 18, 14, 19], [15, 8, 16, 9], [17, 10, 18, 11], [19, 12, 20, 13]]|K3a1,mK7a3]
[10|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 16, 9, 15], [10, 18, 11, 17], [12, 20, 13, 19], [14, 10, 15, 9], [16, 8, 17, 7], [18, 14, 19, 13], [20, 12, 1, 11]]|K3a1,K7a4]
[-4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 15, 9, 16], [10, 17, 11, 18], [12, 19, 13, 20], [14, 9, 15, 10], [16, 7, 17, 8], [18, 13, 19, 14], [20, 11, 1, 12]]|K3a1,mK7a4]
[10|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 16, 9, 15], [10, 8, 11, 7], [12, 20, 13, 19], [14, 18, 15, 17], [16, 10, 17, 9], [18, 12, 19, 11], [20, 14, 1, 13]]|K3a1,K7a5]
[-4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 15, 9, 16], [10, 7, 11, 8], [12, 19, 13, 20], [14, 17, 15, 18], [16, 9, 17, 10], [18, 11, 19, 12], [20, 13, 1, 14]]|K3a1,mK7a5]
[6|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 19, 8, 18], [9, 15, 10, 14], [11, 1, 12, 20], [13, 16, 14, 17], [15, 9, 16, 8], [17, 12, 18, 13], [19, 11, 20, 10]]|K3a1,K7a6]
[0|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 18, 8, 19], [9, 14, 10, 15], [11, 20, 12, 1], [13, 17, 14, 16], [15, 8, 16, 9], [17, 13, 18, 12], [19, 10, 20, 11]]|K3a1,mK7a6]
[4|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 17, 8, 16], [9, 18, 10, 19], [11, 1, 12, 20], [13, 10, 14, 11], [15, 9, 16, 8], [17, 14, 18, 15], [19, 13, 20, 12]]|K3a1,mK7a7]
[2|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 16, 8, 17], [9, 19, 10, 18], [11, 20, 12, 1], [13, 11, 14, 10], [15, 8, 16, 9], [17, 15, 18, 14], [19, 12, 20, 13]]|K3a1,K7a7]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 15, 8, 14], [9, 13, 10, 12], [11, 18, 12, 19], [13, 9, 14, 8], [15, 1, 16, 22], [17, 21, 18, 20], [19, 10, 20, 11], [21, 17, 22, 16]]|K3a1,K8a1]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 14, 8, 15], [9, 12, 10, 13], [11, 19, 12, 18], [13, 8, 14, 9], [15, 22, 16, 1], [17, 20, 18, 21], [19, 11, 20, 10], [21, 16, 22, 17]]|K3a1,mK8a1]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 16, 8, 17], [9, 19, 10, 18], [11, 21, 12, 20], [13, 1, 14, 22], [15, 8, 16, 9], [17, 15, 18, 14], [19, 11, 20, 10], [21, 13, 22, 12]]|K3a1,K8a2]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 17, 8, 16], [9, 18, 10, 19], [11, 20, 12, 21], [13, 22, 14, 1], [15, 9, 16, 8], [17, 14, 18, 15], [19, 10, 20, 11], [21, 12, 22, 13]]|K3a1,mK8a2]
